id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
1;Carol McElveen;I love your videos! You are both so beautiful and STRONG , Don, t know how you carry those back packs,;UgxXjz1nua4SrzPHaHt4AaABAg;;0;https://www.youtube.com/watch?v=bOfjOVYqN-0&lc=UgxXjz1nua4SrzPHaHt4AaABAg;2020-06-06 09:08:26;1;I love your videos! You are both so beautiful and STRONG , Don, t know how you carry those back packs,;http://www.youtube.com/channel/UCvsxntaGil3Sqx8fvNAUuAA;1
2;Grateful Gypsies;Why thank you! The backpacks aren\'t that bad. It helps that we don\'t have to carry them all the time...just when we move to a new place :);UgxXjz1nua4SrzPHaHt4AaABAg.99Z_-adPjpZ9A5C7-lO0Ab;Carol McElveen;0;https://www.youtube.com/watch?v=bOfjOVYqN-0&lc=UgxXjz1nua4SrzPHaHt4AaABAg.99Z_-adPjpZ9A5C7-lO0Ab;2020-06-19 10:33:54;0;Why thank you! The backpacks aren\'t that bad. It helps that we don\'t have to carry them all the time...just when we move to a new place :);http://www.youtube.com/channel/UCn5T0r4o5KV4qoyQyR7Buww;1
3;Jeff Turner;Welcome back..;Ugz38Xsyej7Uibn6j514AaABAg;;0;https://www.youtube.com/watch?v=bOfjOVYqN-0&lc=Ugz38Xsyej7Uibn6j514AaABAg;2020-05-20 12:57:38;1;Welcome back..;http://www.youtube.com/channel/UCTCluDTvCMP1NWFEArf2FgA;1
4;Grateful Gypsies;Thank you!;Ugz38Xsyej7Uibn6j514AaABAg.98tCiOgWsmd9A5CNfy1_tm;Jeff Turner;0;https://www.youtube.com/watch?v=bOfjOVYqN-0&lc=Ugz38Xsyej7Uibn6j514AaABAg.98tCiOgWsmd9A5CNfy1_tm;2020-06-19 10:36:11;0;Thank you!;http://www.youtube.com/channel/UCn5T0r4o5KV4qoyQyR7Buww;1
