id;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl;intention
42;ATST;18 months ago, I graduated from University. I wanted to be a digital nomad however I couldn\'t risk it and I found comfort in working for companies abroad for 2-3 months and move to another country. Once the pandemic started, I became jobless and I had two choices, either continue the journey in South East Asia as a full time digital nomad or come back to my home country Morocco. I decided to be a full time digital nomad in KL - Malaysia. Times were hard, especially during the 3 months of total lockdown. However, this was the best decision I took. The freedom I feel everyday is worth it. This year was the best year of my life. A year full of downs but most importantly full of lessons. Enjoy the digital nomadic lifestyle.;Ugw6g2yyuAfJfMFSEiR4AaABAg;;10;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugw6g2yyuAfJfMFSEiR4AaABAg;2020-12-23 23:34:00;4;18 months ago, I graduated from University. I wanted to be a digital nomad however I couldn\'t risk it and I found comfort in working for companies abroad for 2-3 months and move to another country. Once the pandemic started, I became jobless and I had two choices, either continue the journey in South East Asia as a full time digital nomad or come back to my home country Morocco. I decided to be a full time digital nomad in KL - Malaysia. Times were hard, especially during the 3 months of total lockdown. However, this was the best decision I took. The freedom I feel everyday is worth it. This year was the best year of my life. A year full of downs but most importantly full of lessons. Enjoy the digital nomadic lifestyle.;http://www.youtube.com/channel/UCyi6QvO2cm3OIbIKPUzquBw;0
43;Ivy Xu;@ATST what do you do now as a digital nomad?;Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89LUZs7_GxfZ;ATST;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89LUZs7_GxfZ;2021-03-29 16:47:48;0;@ATST what do you do now as a digital nomad?;http://www.youtube.com/channel/UCPyvJy_Q6gQj8H0XFtXQmDg;0
44;ATST;@Born In The Wrong Generation business and mangement but I chose marketing as my field\'s specialization;Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89IL5CCb5tUZ;ATST;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89IL5CCb5tUZ;2021-01-10 09:52:27;0;@Born In The Wrong Generation business and mangement but I chose marketing as my field\'s specialization;http://www.youtube.com/channel/UCyi6QvO2cm3OIbIKPUzquBw;0
45;Born In The Wrong Generation;what did you study;Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89IKfI9gms-G;ATST;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89IKfI9gms-G;2021-01-10 05:57:20;0;what did you study;http://www.youtube.com/channel/UCbrCr0S3uADFyaZNeRVFvvg;0
46;Joanna Yung;wow! Your story is truly inspiring!! So proud of you for pursuing the path that you are passionate about, and good luck with your digital nomad adventure!;Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89HdDYGIRJDo;ATST;2;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugw6g2yyuAfJfMFSEiR4AaABAg.9HdCu_vYyk89HdDYGIRJDo;2020-12-23 23:39:33;0;wow! Your story is truly inspiring!! So proud of you for pursuing the path that you are passionate about, and good luck with your digital nomad adventure!;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
47;Ahmad Sadaqat;Very informative thank you so much I’m also struggling to became a DN;UgwWecFR_n6KwrSDlp14AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwWecFR_n6KwrSDlp14AaABAg;2020-12-22 17:57:54;1;Very informative thank you so much I’m also struggling to became a DN;http://www.youtube.com/channel/UCc3-PSeTNgUeLC_Ncj4LRzw;0
48;Joanna Yung;Thanks you and glad you find this helpful! Let me know how I can help you 😉;UgwWecFR_n6KwrSDlp14AaABAg.9Ha1e5uOzMV9Hi2XDD-wKm;Ahmad Sadaqat;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgwWecFR_n6KwrSDlp14AaABAg.9Ha1e5uOzMV9Hi2XDD-wKm;2020-12-25 20:39:29;0;Thanks you and glad you find this helpful! Let me know how I can help you 😉;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
49;Thomas Sampson;plural nouns my lady, plural nouns;Ugy2aan_rXNGQNcSe3p4AaABAg;;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=Ugy2aan_rXNGQNcSe3p4AaABAg;2020-12-10 09:54:28;0;plural nouns my lady, plural nouns;http://www.youtube.com/channel/UCoTPZBT0Z5aWtxyFK0Ay5uw;0
50;cassieselement;subscribed! going to be a digital nomad in 2021 :O this video was super insightful! thanks for sharing. xD i also plan to make content! would love to be friends haha.;UgyMYTMFN3WbFw3guFN4AaABAg;;1;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyMYTMFN3WbFw3guFN4AaABAg;2020-12-09 01:37:40;1;subscribed! going to be a digital nomad in 2021 :O this video was super insightful! thanks for sharing. xD i also plan to make content! would love to be friends haha.;http://www.youtube.com/channel/UCo0lhiCqvQ3sgrYGwoUMLAw;0
51;Joanna Yung;Thanks Cassie! Happy to hear that this video is helpful! Let’s keep in touch! And good luck, all the best to you 😊❤️;UgyMYTMFN3WbFw3guFN4AaABAg.9H1o8FKu3Qv9Hi2SUD5L15;cassieselement;0;https://www.youtube.com/watch?v=qtDnvn9r_8I&lc=UgyMYTMFN3WbFw3guFN4AaABAg.9H1o8FKu3Qv9Hi2SUD5L15;2020-12-25 20:38:50;0;Thanks Cassie! Happy to hear that this video is helpful! Let’s keep in touch! And good luck, all the best to you 😊❤️;http://www.youtube.com/channel/UC2TUZnaGIN5F_1mE6HWDHnQ;0
